PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),Electricity(kBtu),NaturalGas(kBtu)
Small- and Mid-Sized Office,GREATER DUWAMISH,1958,1.0,1,54765,0,54765,Office,Other,83.80000305,3569337.0,684032.0
Other,GREATER DUWAMISH,2009,1.0,5,89821,0,89821,Other - Lodging/Residential,Office,21.89999962,67462.0,1882631.0
University,MAGNOLIA / QUEEN ANNE,1980,1.0,2,52611,0,52611,College/University,,78.30000305,2479273.0,1637598.0
K-12 School,NORTH,2011,1.0,2,236758,0,236758,K-12 School,Parking,35.0,4789948.0,3566039.0
Other,CENTRAL,1971,3.0,6,250981,0,250981,Other,Courthouse,60.5,8155002.0,580172.0
K-12 School,NORTHWEST,2002,1.0,3,62526,0,62526,K-12 School,,31.79999924,1114389.0,871706.0
Other,DOWNTOWN,2004,1.0,11,299070,68432,230638,Other,,261.2999878,30651644.0,34685331.0
Small- and Mid-Sized Office,GREATER DUWAMISH,2007,1.0,3,64015,0,64015,Office,Non-Refrigerated Warehouse,60.0,2657382.0,584696.0
Retail Store,NORTH,1951,1.0,1,530039,0,530039,Retail Store,Restaurant,52.29999924,16224529.0,11492503.0
Other,NORTH,1964,1.0,3,54224,0,54224,Other/Specialty Hospital,,154.5,3344827.0,3920350.0
Retail Store,NORTH,1965,1.0,4,124342,0,124342,Retail Store,,71.90000153,8653621.0,112356.0
Hospital,NORTHEAST,1953,6.0,10,879000,0,879000,Hospital (General Medical & Surgical),,288.7999878,115641210.0,138191238.0
Other,NORTHWEST,1996,1.0,3,55442,0,55442,Financial Office,Parking,85.59999847,1859345.0,1331883.0
K-12 School,BALLARD,1999,1.0,2,242795,0,242795,K-12 School,,37.70000076,7859464.0,1297685.0
Self-Storage Facility,EAST,1910,1.0,5,84870,0,84870,Self-Storage Facility,,16.20000076,482635.0,898955.0
University,NORTHWEST,1970,11.0,2,694072,111625,582447,College/University,,53.79999924,33450832.0,2440648.0
K-12 School,SOUTHEAST,1952,1.0,2,173185,0,173185,K-12 School,,35.40000153,1800727.0,4327044.0
K-12 School,DELRIDGE,1963,1.0,1,145341,0,145341,K-12 School,,39.5,1864967.0,3634130.0
Warehouse,GREATER DUWAMISH,1904,1.0,4,114297,0,114297,Non-Refrigerated Warehouse,,18.39999962,912475.0,1187623.0
K-12 School,SOUTHEAST,1960,1.0,2,184125,0,184125,K-12 School,,47.79999924,2999862.0,5800430.0
K-12 School,BALLARD,1959,1.0,1,160270,0,160270,K-12 School,,0.0,0.0,4318917.0
Warehouse,GREATER DUWAMISH,1937,1.0,1,234144,0,234144,Non-Refrigerated Warehouse,,28.79999924,1316817.0,5427500.0
Retail Store,DELRIDGE,1966,1.0,1,64984,0,64984,Retail Store,,45.0,2613687.0,330609.0
Retail Store,DELRIDGE,1965,1.0,1,67745,0,67745,Retail Store,,136.1999969,2624102.0,6606121.0
K-12 School,DELRIDGE,2010,1.0,2,367884,0,367884,K-12 School,,33.29999924,8205020.0,4060496.0
K-12 School,DELRIDGE,1958,1.0,1,46797,0,46797,K-12 School,,44.40000153,797204.0,1278687.0
K-12 School,CENTRAL,1963,1.0,3,136188,0,136188,K-12 School,,0.0,0.0,3217877.0
Other,BALLARD,1973,1.0,3,56000,0,56000,Other,,33.09999847,844864.0,1006396.0
K-12 School,SOUTHEAST,2004,1.0,2,67371,0,67371,K-12 School,,31.60000038,1445339.0,683120.0
Self-Storage Facility,SOUTHWEST,1969,1.0,2,52088,0,52088,Self-Storage Facility,,26.39999962,523765.0,853755.0
K-12 School,LAKE UNION,2010,1.0,3,127776,0,127776,K-12 School,,37.20000076,3729930.0,1018207.0
Hotel,LAKE UNION,1998,1.0,5,123920,30000,93920,Hotel,Parking,75.59999847,4079217.0,5293961.0
Other,LAKE UNION,1900,1.0,1,50000,0,50000,Museum,,175.6000061,3797924.0,3750882.0
Warehouse,MAGNOLIA / QUEEN ANNE,1926,1.0,2,50292,0,50292,Non-Refrigerated Warehouse,Residence Hall/Dormitory,8.0,430474.0,0.0
Hotel,MAGNOLIA / QUEEN ANNE,1998,1.0,7,207656,54341,153315,Hotel,,78.90000153,5530787.0,5641200.0
K-12 School,BALLARD,1999,1.0,2,67235,0,67235,K-12 School,,34.0,1564728.0,719406.0
Small- and Mid-Sized Office,NORTHWEST,1957,1.0,2,91130,0,91130,Office,Distribution Center,100.5,7093984.0,2378373.0
K-12 School,SOUTHWEST,1991,1.0,3,58118,0,58118,K-12 School,,23.79999924,1158457.0,248820.0
Hotel,NORTHWEST,1968,1.0,4,64893,0,64893,Hotel,,95.5,2620548.0,3577277.0
K-12 School,NORTH,1989,1.0,2,52792,0,52792,K-12 School,,0.0,0.0,0.0
K-12 School,GREATER DUWAMISH,1925,1.0,1,70762,0,70762,K-12 School,,51.0,491106.0,3115310.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,3,44558,0,44558,Office,Self-Storage Facility,37.59999847,1317637.0,359365.0
Other,GREATER DUWAMISH,1999,1.0,6,1585960,327680,1258280,Other - Entertainment/Public Assembly,Parking,37.70000076,49439914.0,10317518.0
Distribution Center,GREATER DUWAMISH,1924,1.0,2,179161,0,179161,Distribution Center,Office,52.20000076,8772104.0,664302.0
Warehouse,GREATER DUWAMISH,1965,1.0,2,58640,0,58640,Non-Refrigerated Warehouse,Other - Services,55.90000153,3928695.0,0.0
Other,GREATER DUWAMISH,1999,1.0,3,1172127,0,1172127,Other - Entertainment/Public Assembly,,50.09999847,40622381.0,18138920.0
Hotel,GREATER DUWAMISH,2005,1.0,9,168449,14567,153882,Hotel,Parking,88.19999695,6232233.0,6494555.0
Warehouse,GREATER DUWAMISH,1916,0.0,4,79600,0,79600,Non-Refrigerated Warehouse,,30.29999924,2411402.0,0.0
K-12 School,LAKE UNION,1997,1.0,4,241066,0,241066,K-12 School,,32.29999924,3096316.0,4695641.0
Large Office,GREATER DUWAMISH,1980,14.0,2,334368,31874,302494,Office,Laboratory,159.8999939,45321378.0,8145300.0
Other,NORTH,2008,1.0,6,419848,335109,84739,Parking,Movie Theater,107.8000031,6995246.0,2139716.0
Mixed Use Property,MAGNOLIA / QUEEN ANNE,2002,1.0,4,110785,0,110785,Multifamily Housing,Supermarket/Grocery Store,95.30000305,10139555.0,418354.0
Hotel,DOWNTOWN,1999,1.0,0,934292,0,934292,Hotel,Parking,117.9000015,39364114.0,25683162.0
Hospital,CENTRAL,1990,6.0,5,597519,0,597519,Hospital (General Medical & Surgical),Parking,238.3999939,58754927.0,84668094.0
K-12 School,DELRIDGE,1999,1.0,1,71714,0,71714,K-12 School,,33.09999847,1944216.0,427142.0
Warehouse,LAKE UNION,1991,1.0,3,75397,8161,67236,Non-Refrigerated Warehouse,Parking,8.199999809,423381.0,125800.0
Hospital,EAST,2000,9.0,8,1158691,0,1158691,Hospital (General Medical & Surgical),Parking,217.1000061,168683602.0,1832129.0
K-12 School,SOUTHWEST,2002,1.0,2,208981,0,208981,K-12 School,,39.09999847,4894851.0,3270002.0
K-12 School,NORTHEAST,1928,1.0,2,55653,0,55653,K-12 School,,24.79999924,6138.0,1371489.0
Hotel,NORTHEAST,1931,1.0,16,106860,0,106860,Hotel,,111.6999969,3561742.0,8373976.0
Small- and Mid-Sized Office,NORTH,1972,1.0,5,50759,0,50759,Office,Restaurant,62.0,2558533.0,588509.0
Worship Facility,NORTHEAST,1952,1.0,2,56772,0,56772,Worship Facility,,43.0,975113.0,1464372.0
Worship Facility,NORTHEAST,1952,1.0,3,103000,0,103000,Worship Facility,,47.09999847,2338435.0,2515995.0
K-12 School,NORTHEAST,2006,1.0,3,269297,0,269297,K-12 School,,39.0,7203965.0,3294379.0
K-12 School,NORTHEAST,2001,1.0,3,75174,0,75174,K-12 School,,36.40000153,1589543.0,1144302.0
K-12 School,MAGNOLIA / QUEEN ANNE,2003,1.0,3,75214,0,75214,K-12 School,,31.0,1733685.0,600575.0
K-12 School,SOUTHWEST,2005,1.0,3,134918,0,134918,K-12 School,,28.29999924,2895105.0,926998.0
K-12 School,CENTRAL,1991,1.0,2,64414,0,64414,K-12 School,,35.09999847,2295176.0,0.0
K-12 School,NORTHWEST,1927,1.0,3,92437,0,92437,K-12 School,,50.0,967866.0,3658577.0
Other,DOWNTOWN,1914,1.0,7,128766,0,128766,Other - Entertainment/Public Assembly,Other,47.0,5732650.0,324760.0
Other,DOWNTOWN,1955,1.0,15,230880,0,230880,Other,,306.3999939,62197171.0,0.0
K-12 School,GREATER DUWAMISH,2007,1.0,3,204961,0,204961,K-12 School,,40.0,4528726.0,3662082.0
Other,MAGNOLIA / QUEEN ANNE,1973,1.0,1,76086,0,76086,Other,,42.0,1563366.0,1704198.0
Medical Office,MAGNOLIA / QUEEN ANNE,1927,1.0,5,190000,39000,151000,Medical Office,Office,183.5,18745441.0,9986059.0
